domainID,siteID,plotID,rootNPercent,rootCPercent,rootCNratio,rootSample_n,plotType,litterNPercent,foliarNPercent,foliarCPercent,foliarCNRatio,soilNPercent_OHoriz,soilCPercent_OHoriz,soilCNRatio_OHoriz,soilNPercent_MHoriz,soilCPercent_MHoriz,soilCNRatio_MHoriz,nlcdClass,decimalLatitude,decimalLongitude,easting,northing,utmZone,elevation
D18,TOOL,TOOL_043,1.055,49.370000000000005,49.45,4,NA,NA,1.8,52.23,29,1.19,37.49,36.63333333333333,0.12,2.59,21.6,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_044,0.785,45.0225,58.675,4,NA,NA,2.1,48.96,23.3,1.34,32.056666666666665,24.166666666666668,0.19999999999999998,3.9366666666666665,18.533333333333335,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_045,0.8275,47.97,63.824999999999996,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_046,0.9059999999999999,46.906,59.36,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_047,0.635,47.2975,76.475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_048,0.8019999999999999,48.385999999999996,64.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_049,0.7825,46.93,61.425,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_050,0.7424999999999999,48.785,68.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_051,0.9025,47.8125,54.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_052,0.7324999999999999,49.345,70.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_053,0.8825000000000001,46.4625,56,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_054,1.028,46.724000000000004,47.68,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_055,0.8325,49.2425,60.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_056,0.832,48.644,60.78,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_057,1.2025000000000001,46.9625,41.05,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_058,1,47.18,51.074999999999996,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_059,0.8175,49.0325,62.425,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_060,0.6925,47.625,70.775,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_061,0.738,47.15,65,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_062,0.8825,45.802499999999995,57.825,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_063,0.8079999999999999,47.506,61,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_064,0.8025,48.540000000000006,63.325,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_065,0.7875,47.3425,65.925,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_066,0.755,48.5775,68.125,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_067,0.7575000000000001,46.4475,63.575,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_068,0.815,48.07,62.400000000000006,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_069,0.864,51.338,62.32,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_070,0.8350000000000001,49.085,61.199999999999996,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D19,BONA,BONA_070,0.7183333333333333,49.92333333333333,71.48333333333333,6,tower,0.27,NA,NA,NA,1.43,48.25,34.56666666666666,0.8,18.39333333333333,22.266666666666666,evergreenForest,65.153632,-147.509712,476102.02,7225673.2,6N,237.7
D19,BONA,BONA_071,0.7566666666666666,51.26166666666666,68.71666666666667,6,tower,0.5966666666666667,NA,NA,NA,1.0633333333333332,46.92,47.233333333333334,0.2866666666666666,5.720000000000001,20.533333333333335,evergreenForest,65.154979,-147.507196,476221.19,7225822.37,6N,246.1
D19,BONA,BONA_072,0.8371428571428571,50.24142857142857,63.614285714285714,7,tower,0.5466666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,65.157144,-147.502131,476460.57,7226061.76,6N,261
D19,BONA,BONA_073,0.87,48.836666666666666,56.31666666666666,6,tower,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrubScrub,65.156626,-147.496992,476701.02,7226002.12,6N,231.9
D19,BONA,BONA_074,0.8542857142857143,48.65857142857143,58.785714285714285,7,tower,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrubScrub,65.154223,-147.495004,476792.12,7225733.58,6N,224.7
D19,BONA,BONA_075,1.1216666666666666,50.138333333333335,46.38333333333333,6,tower,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,65.158209,-147.507859,476193,7226182.6,6N,299.6
D19,BONA,BONA_076,0.7466666666666667,50.343333333333334,70.61666666666667,6,tower,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,65.155812,-147.502084,476461.59,7225913.29,6N,245.4
