"uid","namedLocation","domainID","siteID","plotID","collectDate","sampleID","sampleCode","kclSampleID","kclSampleCode","sampleCondition","ammoniumNAnalysisDate","kclAmmoniumNConc","ammoniumNRepNum","ammoniumNQF","ammoniumNRemarks","nitrateNitriteNAnalysisDate","kclNitrateNitriteNConc","nitrateNitriteNRepNum","nitrateNitriteNQF","nitrateNitriteNRemarks","laboratoryName","ammoniumNMethod","ammoniumNInstrument","ammoniumNAnalyzedBy","ammoniumNReviewedBy","nitrateNitriteNMethod","nitrateNitriteNInstrument","nitrateNitriteNAnalyzedBy","nitrateNitriteNReviewedBy","dataQF"
"bbe26ad1-7405-41c3-ab1e-01361e6157c1","HARV_013.basePlot.bgc","D01","HARV","HARV_013","2018-04-18T15:03Z","HARV_013-M-30-30.5-20180418","A00000001264","HARV_013-M-30-30.5-20180418-KCL","B00000006280","ok","2019-01-30",0.088,1,"0",NA,"2019-02-04",0.115,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"6a1509ab-bbd2-4f98-a77c-59e1cdd5485c","HARV_033.basePlot.bgc","D01","HARV","HARV_033","2018-04-18T15:14Z","HARV_033-O-0-32.5-20180418","A00000001241","HARV_033-O-0-32.5-20180418-KCL","B00000006327","ok","2019-01-30",0.103,1,"0",NA,"2019-02-04",0.068,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"9b54e505-619b-4c46-bde3-0d8ba00920e6","HARV_013.basePlot.bgc","D01","HARV","HARV_013","2018-04-18T15:15Z","HARV_013-O-24.5-7.5-20180418","A00000001266","HARV_013-O-24.5-7.5-20180418-KCL","B00000006274","ok","2019-01-30",0.38,1,"0",NA,"2019-02-04",0.073,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"2679f640-a648-4029-a8e6-9b7628bebee3","HARV_013.basePlot.bgc","D01","HARV","HARV_013","2018-04-18T15:27Z","HARV_013-M-24.5-7.5-20180418","A00000001265","HARV_013-M-24.5-7.5-20180418-KCL","B00000006281","ok","2019-01-30",0.082,1,"0",NA,"2019-02-04",0.108,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"7c77f851-f864-4495-8835-95f481712ba8","HARV_033.basePlot.bgc","D01","HARV","HARV_033","2018-04-18T15:30Z","HARV_033-M-0-32.5-20180418","A00000001259","HARV_033-M-0-32.5-20180418-KCL","B00000006290","ok","2019-01-30",0.099,1,"0",NA,"2019-02-04",0.087,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"d0e7dd4e-c3c5-4a7b-a776-e40778d93c8a","HARV","D01","HARV","","2018-04-18T16:00Z","","","HARV-20180418-BREF1-B","B00000006261","ok","2019-01-30",0.045,1,"0",NA,"2019-01-30",0.103,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"840fbb2c-73ba-478d-bd08-cfa9365cd856","HARV","D01","HARV","","2018-04-18T16:00Z","","","HARV-20180418-BREF1-C","B00000006262","ok","2019-01-30",0.003,1,"0",NA,"2019-01-30",0.101,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"1f72a4cf-d0e6-4507-93b8-6d5c83569554","HARV","D01","HARV","","2018-04-18T16:00Z","","","HARV-20180418-BREF1-A","B00000006251","ok","2019-01-30",0.009,1,"0",NA,"2019-01-30",0.129,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"46422b3f-af3c-4a62-9bae-39e12f5480a9","HARV_004.basePlot.bgc","D01","HARV","HARV_004","2018-04-18T16:22Z","HARV_004-O-0.5-26.5-20180418","A00000001248","HARV_004-O-0.5-26.5-20180418-KCL","B00000006270","ok","2019-02-01",0.713,1,"0",NA,"2019-02-04",0.096,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"611360b2-aba5-45db-9ff9-a00cef5f0086","HARV_004.basePlot.bgc","D01","HARV","HARV_004","2018-04-18T16:31Z","HARV_004-M-0.5-26.5-20180418","A00000001231","HARV_004-M-0.5-26.5-20180418-KCL","B00000006324","ok","2019-02-01",0.177,1,"0",NA,"2019-02-04",0.088,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
