"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","setDate","collectDate","massSampleMixtureID","cnSampleID","cnSampleCode","sampleType","co2Trapped","nitrogenPercent","carbonPercent","CNratio","cnPercentQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF"
"48695030-432f-4bb7-81cd-eb578068d049","2019-04-18","SOAP_043.basePlot.ltr","D17","SOAP","SOAP_043","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP043.20181023.NDL","NEON.LTR.SOAP043.20181023.NDL.CN","A00000061723","vegetation","N",0.83,50.16,60.8,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"f6c63661-bd74-4564-b16e-9f06ffceec7f","2019-04-19","SOAP_057.basePlot.ltr","D17","SOAP","SOAP_057","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP057.20181023.NDL","NEON.LTR.SOAP057.20181023.NDL.CN","A00000061769","vegetation","N",1.2,49.7,41.3,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"2952f691-0a7a-4394-b1d4-095473befc5a","2019-04-26","SOAP_051.basePlot.ltr","D17","SOAP","SOAP_051","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP051.20181023.LVS","NEON.LTR.SOAP051.20181023.LVS.CN","A00000061750","vegetation","Y",0.44,NA,NA,"0","0",1,"CO2 trapped","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"b0edf00c-3402-4913-9836-145e836f88b7","2019-04-19","SOAP_048.basePlot.ltr","D17","SOAP","SOAP_048","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP048.20181023.NDL","NEON.LTR.SOAP048.20181023.NDL.CN","A00000061715","vegetation","N",0.77,50.68,66.2,"0","0",2,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"11c10e32-d63a-4a56-baf4-d609007f2ac2","2019-04-19","SOAP_057.basePlot.ltr","D17","SOAP","SOAP_057","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP057.20181023.LVS","NEON.LTR.SOAP057.20181023.LVS.CN","A00000061771","vegetation","N",0.7,48.02,68.9,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"253b8a4b-eba8-4d65-ab36-13c9d8cb2df2","2019-04-19","SOAP_044.basePlot.ltr","D17","SOAP","SOAP_044","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP044.20181023.NDL","NEON.LTR.SOAP044.20181023.NDL.CN","A00000061709","vegetation","N",1.31,49.11,37.5,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"d798a89e-d976-49fb-b4cc-f422230f42e1","2019-04-26","SOAP_043.basePlot.ltr","D17","SOAP","SOAP_043","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP043.20181023.LVS","NEON.LTR.SOAP043.20181023.LVS.CN","A00000061725","vegetation","Y",0.39,NA,NA,"0","0",1,"CO2 trapped","University of Wyoming Stable Isotope Facility","009 EA-IRMS organic d15n & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"3ffe8207-6a8a-4b8b-8d37-be4a8fccd544","2019-04-19","SOAP_059.basePlot.ltr","D17","SOAP","SOAP_059","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP059.20181023.NDL","NEON.LTR.SOAP059.20181023.NDL.CN","A00000061781","vegetation","N",1.49,49.45,33.1,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"721da0f8-7e61-462b-aa0d-4fb8e5de63c7","2019-04-19","SOAP_052.basePlot.ltr","D17","SOAP","SOAP_052","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP052.20181023.NDL","NEON.LTR.SOAP052.20181023.NDL.CN","A00000061755","vegetation","N",0.69,49.98,72.6,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
"6d4a93c0-9507-4af8-992b-442a5be573b8","2019-04-19","SOAP_048.basePlot.ltr","D17","SOAP","SOAP_048","tower","2018-09-25T19:00Z","2018-10-23T19:00Z","NEON.LTR.SOAP048.20181023.NDL","NEON.LTR.SOAP048.20181023.NDL.CN","A00000061715","vegetation","N",0.77,50.64,65.4,"0","0",1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",NA
