"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","setDate","collectDate","massSampleMixtureID","ligninSampleID","ligninSampleBarcode","analyticalRepNumber","dryMass","ligninPercent","cellulosePercent","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"9009fc6e-2f19-47d5-b1d9-3813d074075d","2018-07-06","GUAN_060.basePlot.ltr","D04","GUAN","GUAN_060","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN060.20180427.LVS","NEON.LTR.GUAN060.20180427.LVS.LIG","A00000007048",1,0.502,17.91,25.71,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"08a17b28-e259-4dd0-86c0-7dbf12f988ca","2018-07-06","GUAN_059.basePlot.ltr","D04","GUAN","GUAN_059","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN059.20180427.LVS","NEON.LTR.GUAN059.20180427.LVS.LIG","A00000007031",1,0.469,19.85,21.02,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"8546d2a3-0afa-4c61-a1ea-44538187487e","2018-07-06","GUAN_049.basePlot.ltr","D04","GUAN","GUAN_049","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN049.20180427.LVS","NEON.LTR.GUAN049.20180427.LVS.LIG","A00000007098",1,0.483,20.83,19.12,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"1113b533-ed04-4cc0-a7fa-c5dbf05a3a70","2018-07-06","GUAN_044.basePlot.ltr","D04","GUAN","GUAN_044","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN044.20180427.LVS","NEON.LTR.GUAN044.20180427.LVS.LIG","A00000007000",1,0.482,13.95,21.39,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"69da3818-3fdb-4d19-a9a0-df1e181d8674","2018-07-06","GUAN_054.basePlot.ltr","D04","GUAN","GUAN_054","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN054.20180427.LVS","NEON.LTR.GUAN054.20180427.LVS.LIG","A00000007099",1,0.465,19.64,25.5,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"578364e4-c454-466a-aca8-ee8a7ae87efa","2018-07-06","GUAN_054.basePlot.ltr","D04","GUAN","GUAN_054","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN054.20180427.LVS","NEON.LTR.GUAN054.20180427.LVS.LIG","A00000007099",2,0.494,16.8,24.71,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"5cf2086b-0b68-4cfc-bcbd-b5778b941b36","2018-07-06","GUAN_042.basePlot.ltr","D04","GUAN","GUAN_042","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN042.20180427.LVS","NEON.LTR.GUAN042.20180427.LVS.LIG","A00000007013",1,0.484,22.27,22.79,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"73c6e7ef-9776-483f-a1c6-c8c26ed9aec4","2018-06-22","GUAN_052.basePlot.ltr","D04","GUAN","GUAN_052","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN052.20180427.LVS","NEON.LTR.GUAN052.20180427.LVS.LIG","A00000007111",2,0.487,28.47,22.77,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"537fc7e6-90ff-4d36-947b-5dd934794de6","2018-06-22","GUAN_052.basePlot.ltr","D04","GUAN","GUAN_052","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN052.20180427.LVS","NEON.LTR.GUAN052.20180427.LVS.LIG","A00000007111",1,0.49,29.59,20.33,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
"4be308a7-2336-4758-a927-0bb8ad3ff4fe","2018-06-22","GUAN_047.basePlot.ltr","D04","GUAN","GUAN_047","tower","2018-03-29T16:00Z","2018-04-27T16:00Z","NEON.LTR.GUAN047.20180427.LVS","NEON.LTR.GUAN047.20180427.LVS.LIG","A00000007046",1,0.499,25.96,23.84,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","8kr+qfmeu1FQ7vvHWE7F/A==","5NMApxg5Cd0pWFY84VRdIg==",NA
