"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","cnSampleID","cnSampleCode","sampleType","acidTreatment","nitrogenPercent","organicCPercent","CNratio","cnPercentQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","sampleCode"
"320d05d8-3bf4-4921-93de-992f10b71fa2","2015-04-28","BART_001.basePlot.bgc","D01","BART","BART_001","distributed","2014-08-19T19:01Z","BART_001-M-14-7-20140819","BART_001-M-14-7-20140819-CN",NA,"soil","N",0.14,4.49,31.1,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"b31c447a-810b-4189-a501-8f62e715dd5a","2015-04-28","BART_006.basePlot.bgc","D01","BART","BART_006","distributed","2014-08-20T12:57Z","BART_006-O-28-3-20140820","BART_006-O-28-3-20140820-CN",NA,"soil","N",1.78,51.78,29.2,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"7c28c221-1e31-4488-b2ed-6c3526733765","2015-04-28","BART_006.basePlot.bgc","D01","BART","BART_006","distributed","2014-08-20T12:57Z","BART_006-M-28-3-20140820","BART_006-M-28-3-20140820-CN",NA,"soil","N",0.27,8.69,32.6,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"c8ade19e-8829-44d8-9093-c2ff8397f3e2","2015-04-28","BART_028.basePlot.bgc","D01","BART","BART_028","distributed","2014-08-20T13:21Z","BART_028-O-37-22-20140820","BART_028-O-37-22-20140820-CN",NA,"soil","N",1.76,46.39,26.3,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"78bacac1-9b9d-4a04-96b9-2e735d2ba7ec","2015-04-28","BART_028.basePlot.bgc","D01","BART","BART_028","distributed","2014-08-20T13:21Z","BART_028-M-37-22-20140820","BART_028-M-37-22-20140820-CN",NA,"soil","N",0.31,9.05,28.9,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"01530bed-12cb-4340-8cf8-6468844d889d","2015-04-28","BART_006.basePlot.bgc","D01","BART","BART_006","distributed","2014-08-20T14:00Z","BART_006-O-13-6-20140820","BART_006-O-13-6-20140820-CN",NA,"soil","N",1.47,43.12,29.3,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"628c6274-9403-49d0-a39b-98db6f78e31c","2015-04-28","BART_006.basePlot.bgc","D01","BART","BART_006","distributed","2014-08-20T14:00Z","BART_006-M-13-6-20140820","BART_006-M-13-6-20140820-CN",NA,"soil","N",0.14,3.12,23.1,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"01b6cd9b-0e10-4d03-8528-a87030283850","2015-04-28","BART_028.basePlot.bgc","D01","BART","BART_028","distributed","2014-08-20T14:32Z","BART_028-O-30-27-20140820","BART_028-O-30-27-20140820-CN",NA,"soil","N",2.07,50.21,24.2,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"5843ba4c-dcc6-46f4-90d1-6a2515c58606","2015-04-28","BART_028.basePlot.bgc","D01","BART","BART_028","distributed","2014-08-20T14:32Z","BART_028-M-30-27-20140820","BART_028-M-30-27-20140820-CN",NA,"soil","N",0.29,6.71,23.4,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"71e2f488-cf07-49a3-8a92-c90b711d04f8","2015-04-28","BART_006.basePlot.bgc","D01","BART","BART_006","distributed","2014-08-20T14:38Z","BART_006-M-0-13-20140820","BART_006-M-0-13-20140820-CN",NA,"soil","N",0.2,3.58,17.5,"0",NA,2,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"a4c44327-8bc4-48e7-83f5-51c629851ac4","2015-04-28","BART_006.basePlot.bgc","D01","BART","BART_006","distributed","2014-08-20T14:38Z","BART_006-M-0-13-20140820","BART_006-M-0-13-20140820-CN",NA,"soil","N",0.21,3.66,17.5,"0",NA,1,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"1fb463c0-1136-4d75-bab9-1aea8422ad42","2015-04-28","BART_028.basePlot.bgc","D01","BART","BART_028","distributed","2014-08-20T15:13Z","BART_028-O-13-32-20140820","BART_028-O-13-32-20140820-CN",NA,"soil","N",1.43,47.97,33.6,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"588ce5a3-f60f-4287-b7ee-93086bc3b279","2015-04-28","BART_028.basePlot.bgc","D01","BART","BART_028","distributed","2014-08-20T15:13Z","BART_028-M-13-32-20140820","BART_028-M-13-32-20140820-CN",NA,"soil","N",0.24,6.01,24.6,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"f96d2ffd-e8e4-44de-9596-7f28c1009946","2015-04-28","BART_033.basePlot.bgc","D01","BART","BART_033","tower","2014-08-20T16:35Z","BART_033-O-3-37-20140820","BART_033-O-3-37-20140820-CN",NA,"soil","N",1.64,45.71,27.9,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"c800bb06-3f18-45ae-89d9-87bae2522e75","2015-04-28","BART_033.basePlot.bgc","D01","BART","BART_033","tower","2014-08-20T16:35Z","BART_033-M-3-37-20140820","BART_033-M-3-37-20140820-CN",NA,"soil","N",0.28,6.89,24.4,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"e5eac0ff-8c49-46dd-a320-1f734caea163","2015-04-28","BART_034.basePlot.bgc","D01","BART","BART_034","tower","2014-08-20T17:13Z","BART_034-O-30-38-20140820","BART_034-O-30-38-20140820-CN",NA,"soil","N",1.64,46.13,28.2,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"0af33bca-fe32-48d4-b51b-41461cbf289f","2015-04-28","BART_034.basePlot.bgc","D01","BART","BART_034","tower","2014-08-20T17:13Z","BART_034-M-30-38-20140820","BART_034-M-30-38-20140820-CN",NA,"soil","N",0.23,5.69,25.1,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"3a6194c0-0425-4e45-86b9-09dc1d187b89","2015-04-28","BART_033.basePlot.bgc","D01","BART","BART_033","tower","2014-08-20T17:15Z","BART_033-O-6-12-20140820","BART_033-O-6-12-20140820-CN",NA,"soil","N",1.83,49.02,26.8,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"4426cc68-2239-48f4-b553-ef53fe70f986","2015-04-28","BART_033.basePlot.bgc","D01","BART","BART_033","tower","2014-08-20T17:15Z","BART_033-M-6-12-20140820","BART_033-M-6-12-20140820-CN",NA,"soil","N",0.18,3.91,21.9,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"9bef8dba-6228-4b9e-b907-2fcd13d61aee","2015-04-28","BART_034.basePlot.bgc","D01","BART","BART_034","tower","2014-08-20T17:47Z","BART_034-O-23-30-20140820","BART_034-O-23-30-20140820-CN",NA,"soil","N",1.36,46.43,34.1,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"6f67a621-6ec7-49ed-90e1-264f5ee7e525","2015-04-28","BART_034.basePlot.bgc","D01","BART","BART_034","tower","2014-08-20T17:47Z","BART_034-M-23-30-20140820","BART_034-M-23-30-20140820-CN",NA,"soil","N",0.51,12.01,23.7,"0",NA,2,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"787f5358-1133-47ab-839c-c9737193b6c8","2015-04-28","BART_034.basePlot.bgc","D01","BART","BART_034","tower","2014-08-20T17:47Z","BART_034-M-23-30-20140820","BART_034-M-23-30-20140820-CN",NA,"soil","N",0.49,11.86,24.1,"0",NA,1,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"137ba01d-bd99-4de0-8809-1f4af92285eb","2015-04-28","BART_033.basePlot.bgc","D01","BART","BART_033","tower","2014-08-20T17:53Z","BART_033-O-36-16-20140820","BART_033-O-36-16-20140820-CN",NA,"soil","N",1.51,51.83,34.4,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
