siteID,plotID,plotType,collectDate,root_0-05_carbonPercent,root_0-05_CNratio,root_0-05_nitrogenPercent,root_05-1_carbonPercent,root_05-1_CNratio,root_05-1_nitrogenPercent,root_1-2_carbonPercent,root_1-2_CNratio,root_1-2_nitrogenPercent,root_2-10_carbonPercent,root_2-10_CNratio,root_2-10_nitrogenPercent
DSNY,DSNY_047,tower,2018-07-30T20:38Z,47.47,108.3,0.44,47.24,79.2,0.6,NA,NA,NA,NA,NA,NA
DSNY,DSNY_048,tower,2018-07-18T23:47Z,47.15,49,0.96,48.49,78.9,0.61,47.09,52.9,0.89,NA,NA,NA
DSNY,DSNY_049,tower,2018-08-06T22:52Z,47.4,66.6,0.71,47.42,88.1,0.54,47.05,83,0.57,NA,NA,NA
DSNY,DSNY_050,tower,2018-08-01T22:13Z,47.82,67.3,0.71,46.49,90.4,0.51,48.72,120.5,0.4,46.38,73,0.64
DSNY,DSNY_051,tower,2018-07-30T22:45Z,47.95,78,0.61,47.59,87.6,0.54,45.66,58.8,0.78,44.06,45.5,0.97
DSNY,DSNY_052,tower,2018-07-16T15:58Z,46.37,50,0.925,46.16,81.8,0.56,48.47,85.6,0.57,NA,NA,NA
DSNY,DSNY_053,tower,2018-08-07T00:15Z,48.94,66.9,0.73,47.73,72.8,0.66,48.32,128.8,0.38,NA,NA,NA
DSNY,DSNY_054,tower,2018-07-24T11:50Z,48.04,88.7,0.54,48.86,140.5,0.35,NA,NA,NA,NA,NA,NA
DSNY,DSNY_055,tower,2018-07-16T17:05Z,47.28,76,0.62,48.22,102.1,0.47,47.01,105,0.45,NA,NA,NA
DSNY,DSNY_056,tower,2018-07-25T22:11Z,47.84,93.5,0.51,51.47,114.6,0.45,51.33,148.9,0.34,47.81,245.3,0.19
DSNY,DSNY_057,tower,2018-07-23T21:54Z,46.19,74.9,0.62,44,74.5,0.59,47.81,115.2,0.41,NA,NA,NA
DSNY,DSNY_058,tower,2018-07-16T17:29Z,47.25,68.1,0.69,47.59,79.9,0.6,50.2,97.5,0.51,NA,NA,NA
DSNY,DSNY_059,tower,2018-07-19T00:10Z,47.19,53.6,0.88,48.16,91.7,0.53,NA,NA,NA,NA,NA,NA
DSNY,DSNY_060,tower,2018-08-01T22:33Z,46.66,36.5,1.28,47.39,52,0.91,45.97,59.5,0.77,NA,NA,NA
DSNY,DSNY_061,tower,2018-07-16T19:07Z,48.17,56.4,0.85,47.89,70.4,0.68,47.48,81,0.59,NA,NA,NA
